asn,parent,fils
1353,0001,['0002']
1375,0001,"['0002', '000c']"
1441,0001,"['0002', '000c', '000d']"
1562,0001,"['0002', '000c', '000d', '000b']"
2057,000d,['000e']
4037,000b,['0007']
4103,000c,['0005']
4125,000d,"['000e', '0008']"
4169,000e,['000a']
4290,000b,"['0007', '0006']"
4312,0002,['0003']
4686,0002,"['0003', '0008']"
4686,000d,['000e']
4741,0008,['000f']
7645,000b,"['0007', '0006', '0004']"
14443,0003,['0004']
14443,000b,"['0007', '0006']"
