time,asn,src_res,dest_res,src_pkt,dest_pkt,command,status,ch1,slot1,ch2,slot2,ch3,slot3,id_res,succes
"2017-07-28 10:00:39,707",979,000e,0001,000e,0001,CELLADD_REQ,ENQUEUED,7,12,6,10,,,46,1
"2017-07-28 10:00:39,721",979,000f,0001,000f,0001,CELLADD_REQ,ENQUEUED,8,3,7,13,7,4,2,0
"2017-07-28 10:00:39,725",979,000d,0001,000d,0001,CELLADD_REQ,ENQUEUED,10,4,,,,,3,0
"2017-07-28 10:00:39,728",979,000b,0001,000b,0001,CELLADD_REQ,ENQUEUED,5,12,6,8,,,60,0
"2017-07-28 10:00:39,731",979,0006,0001,0006,0001,CELLADD_REQ,ENQUEUED,5,6,6,4,,,30,1
"2017-07-28 10:00:39,734",979,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,6,4,7,13,,,8,1
"2017-07-28 10:00:39,738",979,0003,0001,0003,0001,CELLADD_REQ,ENQUEUED,8,4,,,,,7,0
"2017-07-28 10:00:39,817",990,000f,0001,0001,000f,CELLADD_REQ,RCVD,,,,,,,2,0
"2017-07-28 10:00:39,818",990,000f,0001,0001,000f,CELLADD_REP,ENQUEUED,7,4,,,,,2,0
"2017-07-28 10:00:39,823",990,000f,0001,000f,0001,CELLADD_REQ,TXED,,,,,,,2,0
"2017-07-28 10:00:40,004",1012,000d,0001,0001,000d,CELLADD_REQ,RCVD,,,,,,,0,0
"2017-07-28 10:00:40,005",1012,000d,0001,0001,000d,CELLADD_REP,ENQUEUED,10,4,,,,,0,0
"2017-07-28 10:00:40,010",1012,000d,0001,000d,0001,CELLADD_REQ,TXED,,,,,,,0,0
"2017-07-28 10:00:40,165",1034,000b,0001,0001,000b,CELLADD_REQ,RCVD,,,,,,,0,0
"2017-07-28 10:00:40,166",1034,000b,0001,0001,000b,CELLADD_REP,ENQUEUED,6,8,,,,,0,0
"2017-07-28 10:00:40,171",1034,000b,0001,000b,0001,CELLADD_REQ,TXED,,,,,,,0,0
"2017-07-28 10:00:40,244",1045,0003,0001,0001,0003,CELLADD_REQ,RCVD,,,,,,,0,0
"2017-07-28 10:00:40,244",1045,0003,0001,0001,0003,CELLADD_REP,ENQUEUED,8,4,,,,,0,0
"2017-07-28 10:00:40,250",1045,0003,0001,0003,0001,CELLADD_REQ,TXED,,,,,,,0,0
"2017-07-28 10:00:40,400",1067,0006,0001,0001,0006,CELLADD_REQ,RCVD,,,,,,,0,0
"2017-07-28 10:00:40,401",1067,0006,0001,0001,0006,CELLADD_REP,ENQUEUED,6,4,,,,,0,0
"2017-07-28 10:00:40,406",1067,0006,0001,0006,0001,CELLADD_REQ,TXED,,,,,,,0,0
"2017-07-28 10:00:40,552",1089,000f,0001,000f,0001,CELLADD_REP,RCVD,7,4,,,,,0,0
"2017-07-28 10:00:40,558",1089,000f,0001,0001,000f,CELLADD_REP,TXED,7,4,,,,,0,0
"2017-07-28 10:00:40,639",1100,000d,0001,000d,0001,CELLADD_REP,RCVD,10,4,,,,,0,0
"2017-07-28 10:00:40,645",1100,000d,0001,0001,000d,CELLADD_REP,TXED,10,4,,,,,0,0
"2017-07-28 10:00:40,727",1111,000d,0001,0001,000d,CELLADD_REQ,FAILED,,,,,,,0,0
"2017-07-28 10:00:40,728",1111,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,9,5,4,11,9,1,8,1
"2017-07-28 10:00:40,796",1122,000e,0001,0001,000e,CELLADD_REQ,RCVD,,,,,,,0,0
"2017-07-28 10:00:40,797",1122,000e,0001,0001,000e,CELLADD_REP,ENQUEUED,6,10,,,,,0,0
"2017-07-28 10:00:40,802",1122,000e,0001,000e,0001,CELLADD_REQ,TXED,,,,,,,0,0
"2017-07-28 10:00:40,959",1144,000e,0001,000e,0001,CELLADD_REP,RCVD,6,10,,,,,0,0
"2017-07-28 10:00:40,966",1144,000e,0001,0001,000e,CELLADD_REP,TXED,6,10,,,,,0,0
"2017-07-28 10:00:41,042",1155,000b,0001,000b,0001,CELLADD_REP,RCVD,6,8,,,,,0,0
"2017-07-28 10:00:41,048",1155,000b,0001,0001,000b,CELLADD_REP,TXED,6,8,,,,,0,0
"2017-07-28 10:00:41,113",1166,0003,0001,0003,0001,CELLADD_REP,RCVD,8,4,,,,,0,0
"2017-07-28 10:00:41,125",1166,0003,0001,0001,0003,CELLADD_REP,TXED,8,4,,,,,0,0
"2017-07-28 10:00:41,275",1188,0006,0001,0006,0001,CELLADD_REP,RCVD,6,4,,,,,0,0
"2017-07-28 10:00:41,281",1188,0006,0001,0001,0006,CELLADD_REP,TXED,6,4,,,,,0,0
"2017-07-28 10:00:41,618",1243,0005,0001,0005,0001,CELLADD_REQ,TXED,,,,,,,8,1
"2017-07-28 10:00:41,628",1243,0005,0001,0001,0005,CELLADD_REQ,RCVD,,,,,,,8,1
"2017-07-28 10:00:41,629",1243,0005,0001,0001,0005,CELLADD_REP,ENQUEUED,9,1,,,,,8,1
"2017-07-28 10:00:42,234",1342,0005,0001,0005,0001,CELLADD_REP,RCVD,9,1,,,,,8,1
"2017-07-28 10:00:42,240",1342,0005,0001,0001,0005,CELLADD_REP,TXED,9,1,,,,,8,1
"2017-07-28 10:00:48,982",2508,0007,000e,0007,000e,CELLADD_REQ,ENQUEUED,8,14,,,,,9,1
"2017-07-28 10:00:48,999",2508,0004,000e,0004,000e,CELLADD_REQ,ENQUEUED,6,12,5,5,,,10,1
"2017-07-28 10:00:49,097",2519,0007,000e,000e,0007,CELLADD_REQ,RCVD,,,,,,,9,1
"2017-07-28 10:00:49,098",2519,0007,000e,000e,0007,CELLADD_REP,ENQUEUED,8,14,,,,,9,1
"2017-07-28 10:00:49,103",2519,0007,000e,0007,000e,CELLADD_REQ,TXED,,,,,,,9,1
"2017-07-28 10:00:49,188",2530,0007,000e,0007,000e,CELLADD_REP,RCVD,8,14,,,,,9,1
"2017-07-28 10:00:49,194",2530,0007,000e,000e,0007,CELLADD_REP,TXED,8,14,,,,,9,1
"2017-07-28 10:00:49,195",2530,000e,0001,000e,0001,CELLADD_REQ,ENQUEUED,9,15,9,2,,,11,1
"2017-07-28 10:00:49,229",2536,000e,0001,000e,0001,CELLADD_REQ,TXED,6,10,,,,,11,1
"2017-07-28 10:00:49,285",2541,000e,0001,000e,0001,CELLADD_REQ,ENQUEUED,5,13,9,8,,,12,0
"2017-07-28 10:00:49,289",2536,000e,0001,0001,000e,CELLADD_REQ,RCVD,,,,,,,11,1
"2017-07-28 10:00:49,292",2541,000e,0001,0001,000e,CELLADD_REP,TXED,9,1,,,,,11,1
"2017-07-28 10:00:49,322",2547,000e,0001,000e,0001,CELLADD_REQ,TXED,6,10,,,,,12,0
"2017-07-28 10:00:49,376",2547,000e,0001,0001,000e,CELLADD_REQ,RCVD,,,,,,,12,0
"2017-07-28 10:00:49,393",2552,0004,000e,0004,000e,CELLADD_REQ,TXED,,,,,,,10,1
"2017-07-28 10:00:49,660",2585,0004,000e,0004,000e,CELLADD_REQ,ENQUEUED,8,13,,,,,13,1
"2017-07-28 10:00:49,664",2585,0004,000e,000e,0004,CELLADD_REP,TXED,8,14,,,,,10,1
"2017-07-28 10:00:50,005",2629,0004,000e,0004,000e,CELLADD_REQ,TXED,,,,,,,13,1
"2017-07-28 10:00:50,101",2640,0004,000e,0004,000e,CELLADD_REQ,ENQUEUED,9,9,,,,,14,1
"2017-07-28 10:00:50,106",2640,0004,000e,000e,0004,CELLADD_REP,TXED,8,14,,,,,13,1
"2017-07-28 10:00:50,191",2651,0004,000e,0004,000e,CELLADD_REQ,TXED,,,,,,,14,1
"2017-07-28 10:00:50,194",2651,0004,000e,0004,000e,CELLADD_REP,FAILED,9,1,,,,,14,1
"2017-07-28 10:00:50,283",2662,0004,000e,0004,000e,CELLADD_REQ,ENQUEUED,4,10,4,7,10,2,15,1
"2017-07-28 10:00:50,287",2662,0004,000e,000e,0004,CELLADD_REP,TXED,8,14,,,,,14,1
"2017-07-28 10:00:50,371",2673,0004,000e,0004,000e,CELLADD_REQ,TXED,,,,,,,15,1
"2017-07-28 10:00:50,443",2684,0004,000e,000e,0004,CELLADD_REP,TXED,8,14,,,,,15,1
"2017-07-28 10:00:50,462",2684,0004,000e,0004,000e,CELLADD_REQ,ENQUEUED,6,9,5,7,,,16,0
"2017-07-28 10:00:50,547",2695,0004,000e,0004,000e,CELLADD_REQ,TXED,,,,,,,16,0
"2017-07-28 10:00:51,406",2819,000e,0001,000e,0001,CELLADD_REQ,ENQUEUED,4,3,4,11,,,17,1
"2017-07-28 10:00:51,433",2822,000e,0001,000e,0001,CELLADD_REQ,TXED,,,,,,,17,1
"2017-07-28 10:00:51,488",2827,000e,0001,000e,0001,CELLADD_REQ,ENQUEUED,9,5,,,,,18,1
"2017-07-28 10:00:51,500",2822,000e,0001,0001,000e,CELLADD_REQ,RCVD,,,,,,,17,1
"2017-07-28 10:00:51,503",2827,000e,0001,0001,000e,CELLADD_REP,TXED,9,1,,,,,17,1
"2017-07-28 10:00:51,531",2833,000e,0001,000e,0001,CELLADD_REQ,TXED,,,,,,,18,1
"2017-07-28 10:00:51,594",2838,000e,0001,000e,0001,CELLADD_REQ,ENQUEUED,9,6,,,,,19,1
"2017-07-28 10:00:51,598",2833,000e,0001,0001,000e,CELLADD_REQ,RCVD,,,,,,,18,1
"2017-07-28 10:00:51,601",2838,000e,0001,0001,000e,CELLADD_REP,TXED,6,10,,,,,18,1
"2017-07-28 10:00:51,629",2844,000e,0001,000e,0001,CELLADD_REQ,TXED,,,,,,,19,1
"2017-07-28 10:00:51,687",2849,000e,0001,000e,0001,CELLADD_REQ,ENQUEUED,5,2,,,,,20,0
"2017-07-28 10:00:51,691",2844,000e,0001,0001,000e,CELLADD_REQ,RCVD,,,,,,,19,1
"2017-07-28 10:00:51,694",2849,000e,0001,0001,000e,CELLADD_REP,TXED,6,10,,,,,19,1
"2017-07-28 10:00:51,728",2855,000e,0001,000e,0001,CELLADD_REQ,TXED,,,,,,,20,0
"2017-07-28 10:00:51,792",2860,000e,0001,000e,0001,CELLADD_REP,FAILED,8,14,,,,,20,0
"2017-07-28 10:00:51,797",2855,000e,0001,0001,000e,CELLADD_REQ,RCVD,,,,,,,20,0
"2017-07-28 10:00:52,556",2965,0004,000e,0004,000e,CELLADD_REQ,ENQUEUED,7,3,10,12,,,21,1
"2017-07-28 10:00:52,623",2970,0004,000e,0004,000e,CELLADD_REQ,TXED,,,,,,,21,1
"2017-07-28 10:00:52,930",3003,0004,000e,0004,000e,CELLADD_REP,FAILED,6,10,,,,,16,0
"2017-07-28 10:00:54,031",3124,0002,000b,0002,000b,CELLADD_REQ,ENQUEUED,6,11,,,,,22,1
"2017-07-28 10:00:54,036",3127,000e,0001,000e,0001,CELLADD_REQ,ENQUEUED,9,14,5,0,10,14,23,0
"2017-07-28 10:00:54,073",3130,000e,0001,000e,0001,CELLADD_REQ,TXED,8,14,,,,,23,0
"2017-07-28 10:00:54,276",3130,000e,0001,0001,000e,CELLADD_REQ,RCVD,,,,,,,23,0
"2017-07-28 10:00:54,400",3146,0002,000b,000b,0002,CELLADD_REQ,RCVD,,,,,,,22,1
