asn,parent,fils
4598,0001,['000f']
4620,0001,"['000f', '000a']"
4653,0001,"['000f', '000a', '0005']"
4752,0001,"['000f', '000a', '0005', '000c']"
4829,0001,"['000f', '000a', '0005', '000c', '0009']"
4873,0005,['0008']
5335,0009,['0007']
5445,000c,['0003']
5896,0009,"['0007', '000e']"
6094,0009,"['0007', '000e', '0004']"
6292,000f,['000b']
6380,0009,"['0007', '000e', '0004', '0006']"
6666,0006,['0002']
