time,asn,src_res,dest_res,src_pkt,dest_pkt,command,status,ch1,slot1,ch2,slot2,ch3,slot3,id_res,succes
"2017-07-20 15:20:33,666",1331,0002,0001,0002,0001,CELLADD_REQ,ENQUEUED,7,10,7,14,7,8,1,1
"2017-07-20 15:20:33,672",1331,000d,0001,000d,0001,CELLADD_REQ,ENQUEUED,8,3,8,8,,,2,0
"2017-07-20 15:20:33,675",1331,000c,0001,000c,0001,CELLADD_REQ,ENQUEUED,5,14,10,7,9,0,3,1
"2017-07-20 15:20:33,678",1331,000b,0001,000b,0001,CELLADD_REQ,ENQUEUED,4,12,10,9,,,4,0
"2017-07-20 15:20:33,746",1342,0002,0001,0001,0002,CELLADD_REQ,RCVD,,,,,,,1,1
"2017-07-20 15:20:33,747",1342,0002,0001,0001,0002,CELLADD_REP,ENQUEUED,7,8,,,,,1,1
"2017-07-20 15:20:33,760",1342,0002,0001,0002,0001,CELLADD_REQ,TXED,,,,,,,1,1
"2017-07-20 15:20:33,842",1353,0002,0001,0002,0001,CELLADD_REP,RCVD,7,8,,,,,1,1
"2017-07-20 15:20:33,848",1353,0002,0001,0001,0002,CELLADD_REP,TXED,7,8,,,,,1,1
"2017-07-20 15:20:33,922",1364,000c,0001,0001,000c,CELLADD_REQ,RCVD,,,,,,,3,1
"2017-07-20 15:20:33,923",1364,000c,0001,0001,000c,CELLADD_REP,ENQUEUED,9,0,,,,,3,1
"2017-07-20 15:20:33,929",1364,000c,0001,000c,0001,CELLADD_REQ,TXED,,,,,,,3,1
"2017-07-20 15:20:33,991",1375,000c,0001,000c,0001,CELLADD_REP,RCVD,9,0,,,,,3,1
"2017-07-20 15:20:33,997",1375,000c,0001,0001,000c,CELLADD_REP,TXED,9,0,,,,,3,1
"2017-07-20 15:20:34,073",1386,000c,0001,0001,000c,CELLADD_REQ,FAILED,,,,,,,3,1
"2017-07-20 15:20:34,074",1386,000d,0001,000d,0001,CELLADD_REQ,ENQUEUED,5,9,9,7,9,3,5,1
"2017-07-20 15:20:34,263",1419,000d,0001,0001,000d,CELLADD_REQ,RCVD,,,,,,,5,1
"2017-07-20 15:20:34,264",1419,000d,0001,0001,000d,CELLADD_REP,ENQUEUED,5,9,,,,,5,1
"2017-07-20 15:20:34,273",1419,000d,0001,000d,0001,CELLADD_REQ,TXED,,,,,,,5,1
"2017-07-20 15:20:34,393",1441,000d,0001,000d,0001,CELLADD_REP,RCVD,5,9,,,,,5,1
"2017-07-20 15:20:34,399",1441,000d,0001,0001,000d,CELLADD_REP,TXED,5,9,,,,,5,1
"2017-07-20 15:20:34,740",1507,000d,0001,0001,000d,CELLADD_REQ,FAILED,,,,,,,2,0
"2017-07-20 15:20:34,742",1507,000b,0001,000b,0001,CELLADD_REQ,ENQUEUED,6,13,9,0,4,6,6,1
"2017-07-20 15:20:34,812",1518,000b,0001,000b,0001,CELLADD_REQ,TXED,,,,,,,6,1
"2017-07-20 15:20:34,819",1518,000b,0001,0001,000b,CELLADD_REQ,RCVD,,,,,,,6,1
"2017-07-20 15:20:34,820",1518,000b,0001,0001,000b,CELLADD_REP,ENQUEUED,4,6,,,,,6,1
"2017-07-20 15:20:35,042",1562,000b,0001,000b,0001,CELLADD_REP,RCVD,4,6,,,,,6,1
"2017-07-20 15:20:35,053",1562,000b,0001,0001,000b,CELLADD_REP,TXED,4,6,,,,,6,1
"2017-07-20 15:20:37,305",2035,000e,000d,000e,000d,CELLADD_REQ,ENQUEUED,6,1,7,14,,,7,1
"2017-07-20 15:20:37,367",2046,000e,000d,000d,000e,CELLADD_REQ,RCVD,,,,,,,7,1
"2017-07-20 15:20:37,368",2046,000e,000d,000d,000e,CELLADD_REP,ENQUEUED,7,14,,,,,7,1
"2017-07-20 15:20:37,378",2046,000e,000d,000e,000d,CELLADD_REQ,TXED,,,,,,,7,1
"2017-07-20 15:20:37,466",2057,000e,000d,000e,000d,CELLADD_REP,RCVD,7,14,,,,,7,1
"2017-07-20 15:20:37,472",2057,000e,000d,000d,000e,CELLADD_REP,TXED,7,14,,,,,7,1
"2017-07-20 15:20:37,473",2057,000d,0001,000d,0001,CELLADD_REQ,ENQUEUED,8,12,,,,,8,1
"2017-07-20 15:20:37,492",2062,000d,0001,000d,0001,CELLADD_REQ,TXED,5,9,,,,,8,1
"2017-07-20 15:20:37,498",2062,000d,0001,0001,000d,CELLADD_REQ,RCVD,,,,,,,8,1
"2017-07-20 15:20:37,499",2062,000d,0001,0001,000d,CELLADD_REP,ENQUEUED,8,12,,,,,8,1
"2017-07-20 15:20:37,567",2068,000d,0001,000d,0001,CELLADD_REP,RCVD,8,12,,,,,8,1
"2017-07-20 15:20:37,581",2068,000d,0001,0001,000d,CELLADD_REP,TXED,8,12,,,,,8,1
"2017-07-20 15:20:49,044",4004,0006,000b,0006,000b,CELLADD_REQ,ENQUEUED,7,15,4,10,,,9,1
"2017-07-20 15:20:49,056",4004,0007,000b,0007,000b,CELLADD_REQ,ENQUEUED,8,2,10,15,,,10,1
"2017-07-20 15:20:49,059",4004,0003,000b,0003,000b,CELLADD_REQ,ENQUEUED,9,0,9,10,,,11,0
"2017-07-20 15:20:49,166",4015,0007,000b,0007,000b,CELLADD_REQ,TXED,,,,,,,10,1
"2017-07-20 15:20:49,175",4015,0007,000b,000b,0007,CELLADD_REQ,RCVD,,,,,,,10,1
"2017-07-20 15:20:49,176",4015,0007,000b,000b,0007,CELLADD_REP,ENQUEUED,10,15,,,,,10,1
