asn,parent,fils
1089,0001,['000f']
1100,0001,"['000f', '000d']"
1144,0001,"['000f', '000d', '000e']"
1155,0001,"['000f', '000d', '000e', '000b']"
1166,0001,"['000f', '000d', '000e', '000b', '0003']"
1188,0001,"['000f', '000d', '000e', '000b', '0003', '0006']"
1342,0001,"['000f', '000d', '000e', '000b', '0003', '0006', '0005']"
2530,000e,['0007']
3267,000b,['0002']
3311,0006,['0009']
3344,0006,"['0009', '000c']"
3894,0002,['000a']
3960,0002,"['000a', '0008']"
4334,000e,"['0007', '0004']"
