asn,parent,fils
1012,0001,['0006']
1056,0001,"['0006', '0004']"
1078,0001,"['0006', '0004', '0009']"
1155,0001,"['0006', '0004', '0009', '0007']"
1441,0004,['0003']
1463,0001,"['0006', '0004', '0009', '0007', '0008']"
2002,0003,['000b']
2233,0009,['000e']
2519,000b,['000f']
2563,000f,['000d']
2970,0009,"['000e', '0005']"
4521,0006,['000c']
37147,0009,"['000e', '0005', '0003']"
37147,0004,[]
