time,addr,asn,length,frameType,slotOffset,frequency,l2Dest,txpower,numTxAttempts,L3Src,L3Dest,L4Proto,L4SrcPort,L4DestPort,succes_rx,succes_ack,list_rx
"2017-07-20 15:30:57,493",000f,73909,45,IEEE154_TYPE_BEACON,0,15,ffff92cc00000003,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,0,"['000c', '0007', '0003', '0009', '0008', '0005', '0004']"
"2017-07-20 15:30:57,503",0002,73909,95,IEEE154_TYPE_DATA,0,15,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000002,IANA_ICMPv6,155,0,1,0,"['0001', '000e']"
"2017-07-20 15:30:57,665",0009,73931,45,IEEE154_TYPE_BEACON,0,13,ffff92cc0000000f,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000d,IANA_UNDEFINED,155,0,1,0,"['0002', '0007', '000f', '0003', '000d']"
"2017-07-20 15:30:57,667",0006,73931,95,IEEE154_TYPE_DATA,0,13,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000006,IANA_ICMPv6,155,0,1,0,"['000c', '0004', '0005', '000b']"
"2017-07-20 15:30:57,699",0001,73931,45,IEEE154_TYPE_BEACON,0,13,ffff92cc00000002,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000002,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:30:57,701",000e,73931,45,IEEE154_TYPE_BEACON,0,13,ffff92cc00000002,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000002,IANA_UNDEFINED,155,0,1,0,['0008']
"2017-07-20 15:30:57,774",0006,73942,45,IEEE154_TYPE_BEACON,0,25,ffff92cc0000000b,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000004,IANA_UNDEFINED,155,0,1,0,"['000c', '0009', '000b']"
"2017-07-20 15:30:57,782",0008,73942,45,IEEE154_TYPE_BEACON,0,25,ffff92cc0000000e,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000e,IANA_UNDEFINED,155,0,1,0,"['0007', '0002', '000f', '0005', '0003', '000e', '000d']"
"2017-07-20 15:30:57,786",0004,73942,95,IEEE154_TYPE_DATA,0,25,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000004,IANA_ICMPv6,155,0,0,0,[]
"2017-07-20 15:30:57,870",0005,73953,45,IEEE154_TYPE_BEACON,0,17,ffff92cc00000008,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000006,IANA_UNDEFINED,155,0,1,0,"['0006', '000c']"
"2017-07-20 15:30:57,878",0007,73953,45,IEEE154_TYPE_BEACON,0,17,ffff92cc00000008,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000e,IANA_UNDEFINED,155,0,1,0,"['000f', '0008', '0004', '0002', '0003', '0009', '000e', '000d']"
"2017-07-20 15:30:57,900",000b,73953,45,IEEE154_TYPE_BEACON,0,17,ffff92cc00000006,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000006,IANA_UNDEFINED,155,0,1,0,['0001']
"2017-07-20 15:30:57,968",000c,73964,45,IEEE154_TYPE_BEACON,0,24,ffff92cc00000005,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000006,IANA_UNDEFINED,155,0,0,0,[]
"2017-07-20 15:30:57,974",0009,73964,95,IEEE154_TYPE_DATA,0,24,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000009,IANA_ICMPv6,155,0,1,0,"['0002', '0006', '000f', '0007', '0003', '0001', '000d']"
"2017-07-20 15:30:58,066",0004,73975,45,IEEE154_TYPE_BEACON,0,22,ffff92cc00000007,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000004,IANA_UNDEFINED,155,0,1,0,"['0008', '0007', '0006', '0005', '0002', '0001', '000b']"
"2017-07-20 15:30:58,159",0003,73986,95,IEEE154_TYPE_DATA,0,23,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000003,IANA_ICMPv6,155,0,1,0,"['000f', '0009', '0002', '0008', '000d']"
"2017-07-20 15:30:58,253",0007,73997,95,IEEE154_TYPE_DATA,0,14,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000007,IANA_ICMPv6,155,0,1,0,"['0009', '0008', '0005', '0004', '0002', '000b', '000e', '000d']"
"2017-07-20 15:30:58,344",0005,74008,95,IEEE154_TYPE_DATA,0,19,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000005,IANA_ICMPv6,155,0,1,0,"['000f', '0008', '0007', '0006', '0004', '0002', '000c', '000d']"
