asn,addr,parent,old_parent,info
1353,0002,0001,,new parent
1375,000c,0001,,new parent
1441,000d,0001,,new parent
1562,000b,0001,,new parent
2057,000e,000d,,new parent
4037,0007,000b,,new parent
4103,0005,000c,,new parent
4125,0008,000d,,new parent
4169,000a,000e,,new parent
4290,0006,000b,,new parent
4312,0003,0002,,new parent
4686,0008,0002,000d,parent update
4741,000f,0008,,new parent
7645,0004,000b,,new parent
14443,0004,0003,000b,parent update
