time,asn,src_res,dest_res,src_pkt,dest_pkt,command,status,ch1,slot1,ch2,slot2,ch3,slot3,id_res,succes,numAtt,state
"2017-08-23 16:37:42,715",6841,0006,0009,0009,0006,CELLADD_REQ,RCVD,,,,,,,51,1,0,3
"2017-08-23 16:37:42,720",6842,0006,0009,0009,0006,CELLADD_REP,TXED,,,,,,,51,1,1,5
"2017-08-23 16:37:42,965",6852,0006,0009,0009,0006,CELLADD_REQ,RCVD,,,,,,,51,1,0,3
"2017-08-23 16:37:42,937",6852,0006,0009,0006,0009,CELLADD_REQ,TXED,10,2,,,,,51,1,1,2
"2017-08-23 16:37:42,976",6853,0006,0009,0009,0006,CELLADD_REP,TXED,,,,,,,51,1,1,5
"2017-08-23 16:37:43,193",6864,0006,0009,0006,0009,CELLADD_REQ,ENQUEUED,5,0,5,11,,,52,0,0,1
"2017-08-23 16:37:43,209",6864,0006,0009,0009,0006,CELLADD_REP,TXED,,,,,,,51,1,1,5
"2017-08-23 16:37:43,555",6874,0006,0009,0009,0006,CELLADD_REQ,RCVD,,,,,,,51,1,0,3
"2017-08-23 16:37:43,564",6875,0006,0009,0009,0006,CELLADD_REP,TXED,,,,,,,51,1,1,5
"2017-08-23 16:37:43,822",6885,0006,0009,0009,0006,CELLADD_REQ,RCVD,,,,,,,51,1,0,3
"2017-08-23 16:37:43,827",6886,0006,0009,0009,0006,CELLADD_REP,TXED,,,,,,,51,1,1,5
"2017-08-23 16:37:44,043",6896,0006,0009,0006,0009,CELLADD_REQ,TXED,10,2,,,,,51,1,1,2
"2017-08-23 16:37:44,065",6896,0006,0009,0009,0006,CELLADD_REQ,RCVD,,,,,,,51,1,0,3
"2017-08-23 16:37:44,073",6897,0006,0009,0009,0006,CELLADD_REP,TXED,,,,,,,51,1,1,5
