time,asn,src_res,dest_res,src_pkt,dest_pkt,command,status,ch1,slot1,ch2,slot2,ch3,slot3,id_res,succes,numAtt,state
"2017-07-28 10:00:39,707",979,000e,0001,000e,0001,CELLADD_REQ,ENQUEUED,7,12,6,10,,,46,1,0,1
"2017-07-28 10:00:39,721",979,000f,0001,000f,0001,CELLADD_REQ,ENQUEUED,8,3,7,13,7,4,2,0,0,1
"2017-07-28 10:00:39,725",979,000d,0001,000d,0001,CELLADD_REQ,ENQUEUED,10,4,,,,,3,0,0,1
"2017-07-28 10:00:39,728",979,000b,0001,000b,0001,CELLADD_REQ,ENQUEUED,5,12,6,8,,,60,0,0,1
"2017-07-28 10:00:39,731",979,0006,0001,0006,0001,CELLADD_REQ,ENQUEUED,5,6,6,4,,,30,1,0,1
"2017-07-28 10:00:39,734",979,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,6,4,7,13,,,8,1,0,1
"2017-07-28 10:00:39,738",979,0003,0001,0003,0001,CELLADD_REQ,ENQUEUED,8,4,,,,,7,0,0,1
"2017-07-28 10:00:39,834",990,0003,0001,0003,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-07-28 10:00:39,830",990,0006,0001,0006,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-07-28 10:00:39,813",990,000e,0001,000e,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-07-28 10:00:39,828",990,000b,0001,000b,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-07-28 10:00:39,826",990,000d,0001,000d,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-07-28 10:00:39,823",990,000f,0001,000f,0001,CELLADD_REQ,TXED,,,,,,,2,0,1,2
"2017-07-28 10:00:39,817",990,000f,0001,0001,000f,CELLADD_REQ,RCVD,,,,,,,2,0,0,3
"2017-07-28 10:00:39,818",990,000f,0001,0001,000f,CELLADD_REP,ENQUEUED,7,4,,,,,2,0,0,4
"2017-07-28 10:00:39,916",1001,0006,0001,0006,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-07-28 10:00:39,914",1001,000f,0001,0001,000f,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-07-28 10:00:39,908",1001,000e,0001,000e,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-07-28 10:00:40,005",1012,000d,0001,0001,000d,CELLADD_REP,ENQUEUED,10,4,,,,,0,0,0,4
"2017-07-28 10:00:40,015",1012,0006,0001,0006,0001,CELLADD_REQ,TXED,,,,,,,,,3,2
"2017-07-28 10:00:40,004",1012,000d,0001,0001,000d,CELLADD_REQ,RCVD,,,,,,,0,0,0,3
"2017-07-28 10:00:40,010",1012,000d,0001,000d,0001,CELLADD_REQ,TXED,,,,,,,0,0,2,2
"2017-07-28 10:00:40,013",1012,000b,0001,000b,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-07-28 10:00:40,088",1023,000e,0001,000e,0001,CELLADD_REQ,TXED,,,,,,,,,3,2
"2017-07-28 10:00:40,084",1023,000f,0001,0001,000f,CELLADD_REP,TXED,,,,,,,,,2,5
"2017-07-28 10:00:40,086",1023,0003,0001,0003,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-07-28 10:00:40,166",1034,000b,0001,0001,000b,CELLADD_REP,ENQUEUED,6,8,,,,,0,0,0,4
"2017-07-28 10:00:40,165",1034,000b,0001,0001,000b,CELLADD_REQ,RCVD,,,,,,,0,0,0,3
"2017-07-28 10:00:40,171",1034,000b,0001,000b,0001,CELLADD_REQ,TXED,,,,,,,0,0,3,2
"2017-07-28 10:00:40,244",1045,0003,0001,0001,0003,CELLADD_REP,ENQUEUED,8,4,,,,,0,0,0,4
"2017-07-28 10:00:40,244",1045,0003,0001,0001,0003,CELLADD_REQ,RCVD,,,,,,,0,0,0,3
"2017-07-28 10:00:40,250",1045,0003,0001,0003,0001,CELLADD_REQ,TXED,,,,,,,0,0,3,2
"2017-07-28 10:00:40,406",1067,0006,0001,0006,0001,CELLADD_REQ,TXED,,,,,,,0,0,4,2
"2017-07-28 10:00:40,401",1067,0006,0001,0001,0006,CELLADD_REP,ENQUEUED,6,4,,,,,0,0,0,4
"2017-07-28 10:00:40,400",1067,0006,0001,0001,0006,CELLADD_REQ,RCVD,,,,,,,0,0,0,3
"2017-07-28 10:00:40,558",1089,000f,0001,0001,000f,CELLADD_REP,TXED,7,4,,,,,0,0,3,5
"2017-07-28 10:00:40,552",1089,000f,0001,000f,0001,CELLADD_REP,RCVD,7,4,,,,,0,0,0,6
