asn,src,dest,owner,ch,slot,queuePos,info
13398,1162,8772,b868,,,,LinkRep rcvd - Res successful
13401,1162,8772,1162,,,10,linkreq enqueued
13536,1162,8772,,,,10,linkreq txed
13536,1162,8772,1162,12,65,1,LinkReq rcvd - LinkRep prepared
14754,1162,8772,1162,,,1,LinkRep txed
14754,1162,8772,1162,,,,LinkRep rcvd - Res successful
14822,1162,8772,1162,,,11,linkreq enqueued
15025,8772,b868,1162,,,1,linkreq enqueued
15160,1162,8772,,,,11,linkreq txed
15160,1162,8772,1162,11,152,4,LinkReq rcvd - LinkRep prepared
15163,8772,b868,,,,1,linkreq txed
15163,8772,b868,1162,4,181,1,LinkReq rcvd - LinkRep prepared
15366,8772,b868,1162,,,,LinkRep rcvd - Res successful
15366,8772,b868,1162,,,1,LinkRep txed
15972,1162,8772,1162,,,,LinkRep rcvd - Res successful
15972,1162,8772,1162,,,4,LinkRep txed
16040,8772,b868,1162,,,3,linkreq enqueued
16040,1162,8772,1162,,,2,linkreq enqueued
16378,1162,8772,,,,2,linkreq txed
16378,1162,8772,1162,14,62,6,LinkReq rcvd - LinkRep prepared
16381,8772,b868,,,,3,linkreq txed
16381,8772,b868,1162,10,61,1,LinkReq rcvd - LinkRep prepared
16581,1162,8772,1162,,,,LinkRep rcvd - Res successful
16581,1162,8772,1162,,,6,LinkRep txed
16649,8772,b868,1162,,,3,linkreq enqueued
16649,1162,8772,1162,,,4,linkreq enqueued
17396,8772,b868,1162,,,1,LinkRep txed
17599,8772,b868,1162,14,186,1,LinkReq rcvd - LinkRep prepared
18005,8772,b868,1162,,,1,LinkRep txed
18738,1162,8772,,,,4,LinkReq failed
65775,c280,b868,c280,,,1,linkreq enqueued
67097,c280,8772,,,,1,LinkReq failed
67196,c280,8772,c280,,,1,linkreq enqueued
67238,c280,8772,,,,1,linkreq txed
67238,c280,8772,c280,13,197,2,LinkReq rcvd - LinkRep prepared
68432,c280,8772,c280,,,2,LinkRep failed
69226,c280,8772,c280,,,2,linkreq enqueued
69268,c280,8772,,,,2,linkreq txed
