asn creation,asn_req,asn_rep,asn_tx,src,dest,owner,succes,numAttempts,colision,nb_req,req_1,req_2,req_3,req_4,nb_rep,rep_1,rep_2,rep_3,rep_4,queuePos,nbCellsReq,nbCellsRep,slot1,ch1,s1,slot2,ch2,s2,slot3,ch3,s3,state,nb_sibl,nb_fils,diff_asn
8529,9276,9479,,8772,b868,8772,1,1,,,,,,,,,,,,"[2, 2]",1,1,156,3,0,98,12,0,174,13,1,4,1,,
9138,9180,9789,,c280,8772,c280,1,1,,,,,,,,,,,,"[11, 11]",1,1,46,14,0,47,6,0,153,1,1,4,1,,
9341,9586,10577,,c280,8772,c280,0,1,,,,,,,,,,,,"[10, 10]",1,1,19,7,0,25,1,0,73,2,1,-2,1,,
9544,9682,9885,,8772,b868,8772,1,1,,,,,,,,,,,,"[1, 1]",1,1,167,10,0,100,14,0,58,1,1,4,1,,
9950,10088,10291,,8772,b868,8772,1,1,,,,,,,,,,,,"[1, 1]",1,1,150,7,0,93,3,0,184,15,1,4,1,,
9950,11194,,,c280,8772,c280,0,2,,,,,,,,,,,,[3],1,,154,14,0,68,14,0,4,4,0,-1,1,,
9950,12098,,,1162,8772,b868,0,1,,,,,,,,,,,,[5],1,,9,10,0,170,12,0,55,0,0,-1,1,,
10356,11103,11306,,8772,b868,c280,1,1,,,,,,,,,,,,"[1, 1]",1,1,185,8,0,110,5,0,170,0,1,4,1,,
11371,11509,12118,,8772,b868,c280,1,1,,,,,,,,,,,,"[1, 1]",1,1,34,14,0,17,4,0,105,0,1,4,1,,
12589,12657,,,1162,8772,b868,0,1,,,,,,,,,,,,[5],1,,149,2,0,117,7,0,154,1,0,-1,1,,
12792,13195,13398,,1162,8772,b868,1,2,,,,,,,,,,,,"[1, 1]",1,1,129,13,0,13,3,0,138,2,1,4,1,,
13401,13536,14754,,1162,8772,1162,1,1,,,,,,,,,,,,"[1, 1]",1,1,145,3,0,148,14,0,65,12,1,4,1,,
14822,15160,15972,,1162,8772,1162,1,1,,,,,,,,,,,,"[4, 4]",1,1,80,7,0,106,7,0,152,11,1,4,1,,
15025,15163,15366,,8772,b868,1162,1,1,,,,,,,,,,,,"[1, 1]",1,1,58,12,0,11,0,0,181,4,1,4,1,,
16040,16378,16581,,1162,8772,1162,1,1,,,,,,,,,,,,"[6, 6]",1,1,108,0,0,4,1,0,62,14,1,4,1,,
16040,16381,17396,,8772,b868,1162,1,1,,,,,,,,,,,,"[1, 1]",1,1,28,10,0,5,5,0,61,10,1,4,1,,
16649,17599,18005,,8772,b868,1162,1,1,,,,,,,,,,,,"[1, 1]",1,1,22,9,0,134,10,0,186,14,1,4,1,,
16649,18738,,,1162,8772,1162,0,1,,,,,,,,,,,,[4],1,,186,0,0,148,3,0,199,7,0,-1,1,,
65775,,,,c280,b868,c280,0,1,,,,,,,,,,,,[],1,,34,10,0,95,9,0,119,14,0,-3,2,,
67196,67238,68432,,c280,8772,c280,0,1,,,,,,,,,,,,"[2, 2]",1,1,15,14,0,61,5,0,197,13,1,-2,1,,
69226,69268,70283,,c280,8772,c280,1,2,,,,,,,,,,,,"[5, 5]",1,1,50,15,0,139,5,0,125,15,1,4,1,,
70444,70486,70689,,c280,8772,c280,1,1,,,,,,,,,,,,"[5, 5]",1,1,58,15,0,176,6,0,116,4,1,4,1,,
206657,206755,209192,,c280,b868,c280,0,2,,,,,,,,,,,,"[1, 1]",1,1,80,9,0,31,11,0,13,13,1,-2,2,,
208078,208973,,,c280,b868,c280,0,3,,,,,,,,,,,,[3],1,,86,13,0,191,10,0,51,9,0,-1,2,,
210108,210409,212846,,c280,b868,c280,0,3,,,,,,,,,,,,"[1, 1]",1,1,70,2,0,30,15,0,164,7,1,-2,2,,
211935,212844,215281,,c280,b868,c280,0,4,,,,,,,,,,,,"[3, 3]",1,1,111,2,0,100,15,0,22,8,1,-2,2,,
212958,215139,,,b868,c280,8772,0,1,,,,,,,,,,,,[0],1,,126,10,0,34,6,0,31,1,0,-1,0,,
214980,215109,,,c280,8772,c280,0,1,,,,,,,,,,,,[3],1,,130,12,0,26,12,0,190,15,0,-1,1,,
215183,215225,216849,,c280,8772,c280,1,2,,,,,,,,,,,,"[4, 4]",1,1,144,9,0,26,8,0,86,7,1,4,1,,
215191,216456,,,b868,c280,8772,0,2,,,,,,,,,,,,[0],1,,6,0,0,33,8,0,166,1,0,-1,0,,
217010,217148,,,c280,8772,c280,0,1,,,,,,,,,,,,[9],1,,26,7,0,25,13,0,191,6,0,-1,1,,
217213,217255,217458,,c280,8772,c280,1,2,,,,,,,,,,,,"[2, 2]",1,1,169,0,0,201,3,0,14,14,1,4,1,,
217619,217661,217662,,c280,8772,c280,0,1,,,,,,,,,,,,"[2, 5]",1,1,109,2,0,117,0,0,64,9,1,-2,1,,
218025,218067,218270,,c280,8772,c280,1,2,,,,,,,,,,,,"[2, 2]",1,1,124,0,0,69,9,0,34,1,1,4,1,,
218431,218473,218879,,c280,8772,c280,1,1,,,,,,,,,,,,"[2, 2]",1,1,202,15,0,60,10,0,4,6,1,4,1,,
